$type,id,url,point,severity,ordinal,category,subCategory,comments,currentUpdate,currentUpdateDateTime,corridorIds,startDateTime,endDateTime,lastModifiedTime,levelOfInterest,location,status,geography,isProvisional,hasClosures,roadDisruptionLines,roadDisruptionImpactAreas,recurringSchedules,geometry,streets
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-206223,/Road/All/Disruption/TIMS-206223,"[-0.104471,51.531547]",Serious,1,Works,TfL works,[A501] City Road (Eastbound) at the junction of Colebrooke Row - Lane one (of two) closed during works.,Traffic is slow on approach. Expect delays.,2025-01-23T17:35:53Z,"['a1', 'inner ring']",2025-01-23T08:00:00Z,2025-05-02T16:00:00Z,2025-01-23T17:35:53Z,High,[A501] CITY ROAD (EC1V) (Islington),Active,"{'type': 'Point', 'coordinates': [-0.104471, 51.531547], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],,
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-206094,/Road/All/Disruption/TIMS-206094,"[-0.202906,51.456673]",Serious,2,Works,Utility works,[A3] West Hill (All directions) at the junction of [A205] Upper Richmond Road - Temporary signals in operation to facilitate repairs to a burst water main.,Traffic is slow moving on all approaches to the works. Expect delays.,2025-01-23T14:40:11Z,"['a205', 'a3']",2025-01-20T19:20:00Z,2025-01-25T23:59:00Z,2025-01-23T14:55:59Z,High,"[A3] WEST HILL (SW15,SW18) (Wandsworth)",Active,"{'type': 'Point', 'coordinates': [-0.202906, 51.456673], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],,
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-206215,/Road/All/Disruption/TIMS-206215,"[-0.121907,51.451391]",Serious,3,Works,Utility works,[A23] Brixton Hill (Both directions) at the junction of Beechdale Road - Temporary Signals are in operation for Thames Water works  being carried out at this location.,Traffic is slow on approach in both directions. Expect delays,2025-01-23T17:41:42Z,['a23'],2025-01-23T14:43:01Z,2025-01-23T23:59:59Z,2025-01-23T17:41:42Z,High,[A23] BRIXTON HILL (SW2) (Lambeth),Active,"{'type': 'Point', 'coordinates': [-0.121907, 51.451391], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],,
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-204991,/Road/All/Disruption/TIMS-204991,"[-0.130857,51.527321]",Serious,4,Works,Utility works,"[A501] Euston Road (Both directions) at the junction of [A4200] Upper Woburn Place - TfL drainage works - starts Upper Woburn Place, with temporary signals and will then progress onto Euston Road with lane restrictions to Gower Street.",Traffic is slow westbound on approach. Expect delays.,2025-01-23T17:03:55Z,['inner ring'],2025-01-06T11:00:00Z,2025-02-27T18:00:00Z,2025-01-23T17:03:55Z,High,"[A501] EUSTON ROAD (N1C,NW1,WC1H) (Camden)",Active,"{'type': 'Point', 'coordinates': [-0.130857, 51.527321], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],,
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-205967,/Road/All/Disruption/TIMS-205967,"[-0.028898,51.515905]",Moderate,5,Works,Utility works,[A1205] Burdett Road (Both directions) between Thomas Road and Agnes Street - A contraflow is in place due to Thames Water works.,Delays are possible.,2025-01-23T08:53:18Z,"['a12', 'a13']",2025-01-16T17:43:00Z,2025-03-16T23:59:00Z,2025-01-23T08:53:18Z,High,"[A1205] BURDETT ROAD (E14,E3) (Tower Hamlets)",Active,"{'type': 'Point', 'coordinates': [-0.028898, 51.515905], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],,
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-204970,/Road/All/Disruption/TIMS-204970,"[0.009195,51.515695]",Moderate,6,Works,TfL works,"Canning Town Flyover Refurbishment Works - [A13] Newham Way (Both directions) between [A13] East India Dock Road and Beckton Road - Lane closures and restrictions in place for flyover refurbishment works. Thursday 23 January two lanes closed in both directions (2200-0600) Friday 24 and Saturday 25 January, East India Dock Tunnel, closed eastbound between 21:00 and 08:00 each night and A13 reduced to one lane westbound.",Traffic is flowing steadily through the restrictions in place. Expect delays at peak times. ,2025-01-23T14:52:49Z,['a13'],2024-12-19T08:30:00Z,2025-05-25T22:59:00Z,2025-01-23T14:53:45Z,High,[A13] NEWHAM WAY (E16) (Newham),Active,"{'type': 'Point', 'coordinates': [0.009195, 51.515695], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],"{'type': 'Polygon', 'coordinates': [[[-0.0028763086, 51.5099584741], [-0.0027962352, 51.5097513783], [-0.002572313, 51.5095905628], [-0.0021977037, 51.5095086712], [-0.0018619051, 51.5095471286], [-0.0016297109, 51.5096506164], [-0.0013359974, 51.5098826766], [-0.0003111049, 51.5103853589], [0.000356251, 51.5108350877], [0.0008001745, 51.5112782287], [0.0011767731, 51.5117892099], [0.0016418464, 51.5127336654], [0.0016403157, 51.5130222399], [0.0019649041, 51.5133807145], [0.0026484532, 51.5138608548], [0.0027673384, 51.5139954264], [0.0028066137, 51.514147121], [0.0027731662, 51.5142773413], [0.0026598819, 51.5144137813], [0.002508688, 51.5145059431], [0.0023211254, 51.5145667524], [0.0021133473, 51.5145909719], [0.0017394762, 51.5145357248], [0.0015711803, 51.5144559326], [0.0008052751, 51.5139168934], [0.0003044024, 51.5133593979], [2.25608e-05, 51.5128714003], [1.03922e-05, 51.5127274568], [6.70903e-05, 51.5125954973], [-8.242e-06, 51.5124082845], [-0.0002380436, 51.512004943], [-0.0006611232, 51.511494134], [-0.0012732415, 51.5110545116], [-0.0022900527, 51.5105579939], [-0.002524349, 51.5104076433], [-0.002806373, 51.5101505073], [-0.0028763086, 51.5099584741]]], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}","[{'$type': 'Tfl.Api.Presentation.Entities.Street, Tfl.Api.Presentation.Entities', 'name': '[A1261] EAST INDIA DOCK ROAD TUNNEL (E14)', 'closure': 'Open', 'directions': 'Eastbound', 'segments': [{'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[0.000266,51.511625],[-0.000322,51.511028]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[0.000941,51.512837],[0.000419,51.51182]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[0.000726,51.512776],[0.000826,51.512945]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[0.000419,51.51182],[0.000266,51.511625]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.001257,51.51048],[-0.002156,51.509957]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.000945,51.510638],[-0.001257,51.51048]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[0.000826,51.512945],[0.002086,51.514142]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.000322,51.511028],[-0.000945,51.510638]]', 'sourceSystemId': 0}], 'sourceSystemId': 204970, 'sourceSystemKey': 'TIMS'}]"
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-206066,/Road/All/Disruption/TIMS-206066,"[-0.277053,51.375776]",Moderate,7,Asset issues,Traffic signal fault,[A240] Kingston Road (All approaches) at the junction of Jubilee Way - Temporary traffic signals are in place due to vandalism on the ULEZ camera network.,There are no reported delays.,2025-01-23T14:30:07Z,['a3'],2025-01-20T09:05:02Z,2025-01-20T23:59:59Z,2025-01-23T14:30:07Z,High,"[A240] KINGSTON ROAD (KT19,KT4,KT5,KT9) (Kingston upon Thames,UNK)",Active,"{'type': 'Point', 'coordinates': [-0.277053, 51.375776], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],,
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-206062,/Road/All/Disruption/TIMS-206062,"[-0.301241,51.374535]",Moderate,8,Works,TfL works,[A3] Hook Rise South (Westbound) at the junction of [A243] Hook Road - Entry slip road for A309 Kingston Bypass is closed due to Thames Water works. Follow diversion signs to navigate to the A309.,There are no reported delays on diversion routes.,2025-01-23T14:36:07Z,['a3'],2025-01-20T08:18:22Z,2025-01-20T23:59:59Z,2025-01-23T14:36:07Z,High,"[A3] HOOK RISE SOUTH (KT6,KT9) (Kingston upon Thames)",Active,"{'type': 'Point', 'coordinates': [-0.301241, 51.374535], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],"{'type': 'Polygon', 'coordinates': [[[-0.3106082681, 51.3755005468], [-0.3105747046, 51.3753662042], [-0.3104568893, 51.3752259929], [-0.3102990527, 51.3751325511], [-0.3100688238, 51.3750667143], [-0.309852635, 51.3750531988], [-0.3081935647, 51.3751277955], [-0.3077641875, 51.3751215947], [-0.3068782469, 51.3750504294], [-0.3063080196, 51.3749707576], [-0.3048219976, 51.3746921488], [-0.3045848712, 51.3745291103], [-0.304256457, 51.3744451028], [-0.3040153086, 51.3744477118], [-0.3037380114, 51.3745204614], [-0.3035326156, 51.3746578911], [-0.3034351327, 51.3748359061], [-0.303436455, 51.3749493489], [-0.3035083262, 51.3750934383], [-0.3036994383, 51.3753219886], [-0.3039230542, 51.3754502174], [-0.3058872006, 51.3758328609], [-0.3066617619, 51.3759392007], [-0.3076657193, 51.3760187751], [-0.3081963652, 51.3760266571], [-0.3100293129, 51.3759428998], [-0.3102518741, 51.3758902442], [-0.3104347257, 51.3757949657], [-0.3105577934, 51.3756675243], [-0.3106082681, 51.3755005468]]], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}","[{'$type': 'Tfl.Api.Presentation.Entities.Street, Tfl.Api.Presentation.Entities', 'name': '[A243] HOOK RISE SOUTH (KT6,KT9)', 'closure': 'Closed', 'directions': 'Westbound', 'segments': [{'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.304148,51.374889],[-0.304277,51.375031]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.304277,51.375031],[-0.308676,51.37557]]', 'sourceSystemId': 0}], 'sourceSystemId': 206062, 'sourceSystemKey': 'TIMS'}]"
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-205619,/Road/All/Disruption/TIMS-205619,"[-0.299118,51.491625]",Moderate,9,Works,Utility works,[A4] Great West Road (All approaches) at the junction of Clayponds Lane - Lane restrictions and Clayponds Avenue is closed due to Cadent Gas Works.,Delays are possible.,2025-01-23T17:11:50Z,['a4'],2025-01-08T15:45:00Z,2025-01-23T23:59:00Z,2025-01-23T17:12:03Z,High,[A4] GREAT WEST ROAD (TW8) (Hounslow),Active,"{'type': 'Point', 'coordinates': [-0.299118, 51.491625], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],"{'type': 'Polygon', 'coordinates': [[[-0.3005048289, 51.4921769573], [-0.3004577055, 51.4920261373], [-0.3002852815, 51.4917985], [-0.3001240916, 51.4916565482], [-0.2996086779, 51.4913327778], [-0.2993440431, 51.4912739845], [-0.2990635105, 51.4912828845], [-0.2988097875, 51.4913581231], [-0.2986215006, 51.491488246], [-0.2985205082, 51.4916973409], [-0.2985893384, 51.4919114649], [-0.2990180917, 51.4922334237], [-0.2992213096, 51.4924658022], [-0.2994051037, 51.4925680223], [-0.2996333214, 51.4926256147], [-0.2998176962, 51.4926352491], [-0.3001679445, 51.4925668846], [-0.3004187072, 51.492399635], [-0.3005048289, 51.4921769573]]], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}","[{'$type': 'Tfl.Api.Presentation.Entities.Street, Tfl.Api.Presentation.Entities', 'name': 'CLAYPONDS AVENUE (TW8)', 'closure': 'Closed', 'directions': 'Both directions', 'segments': [{'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.29924,51.491719],[-0.300098,51.492659]]', 'sourceSystemId': 0}], 'sourceSystemId': 205619, 'sourceSystemKey': 'TIMS'}]"
"Tfl.Api.Presentation.Entities.RoadDisruption, Tfl.Api.Presentation.Entities",TIMS-200007,/Road/All/Disruption/TIMS-200007,"[-0.087718,51.512021]",Moderate,10,Works,Borough works,King William Street (Southbound) at the junction of Lombard Street - Road closed to facilitate urban realm works.,Use an alternative route. Delays are possible on diversion.,2025-01-23T08:26:19Z,['bishopsgate cross route'],2024-07-08T07:00:00Z,2025-12-31T19:00:00Z,2025-01-23T08:26:19Z,High,"KING WILLIAM STREET (EC3V,EC4N,EC4R) (City of London)",Active,"{'type': 'Point', 'coordinates': [-0.087718, 51.512021], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}",False,False,[],[],[],"{'type': 'Polygon', 'coordinates': [[[-0.0891778645, 51.5128805527], [-0.0890172242, 51.5125200354], [-0.0874801776, 51.5106900431], [-0.0872453036, 51.5105730268], [-0.0867677274, 51.51046977], [-0.0864870754, 51.510478646], [-0.0862053951, 51.5105674595], [-0.0860636998, 51.5106653138], [-0.0859642518, 51.5108058878], [-0.0859465127, 51.5109591496], [-0.0859981821, 51.5110870298], [-0.0861546639, 51.5112326769], [-0.08639087, 51.5113304629], [-0.0878833614, 51.5131507153], [-0.0880131221, 51.5132330795], [-0.0882300323, 51.5133058445], [-0.0884735516, 51.5133287601], [-0.0886565494, 51.5133113892], [-0.0888264081, 51.5132654908], [-0.0890132755, 51.5131654043], [-0.0891351782, 51.5130318883], [-0.0891778645, 51.5128805527]]], 'crs': {'type': 'name', 'properties': {'name': 'EPSG:4326'}}}","[{'$type': 'Tfl.Api.Presentation.Entities.Street, Tfl.Api.Presentation.Entities', 'name': 'KING WILLIAM STREET (EC3V,EC4N,EC4R)', 'closure': 'Closed', 'directions': 'Southbound', 'segments': [{'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.088143,51.51247],[-0.088264,51.512631]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.087512,51.511713],[-0.087758,51.512023]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.088403,51.512798],[-0.088458,51.512879]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.087758,51.512023],[-0.087868,51.51215]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.088264,51.512631],[-0.088403,51.512798]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.087375,51.511549],[-0.087512,51.511713]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.086923,51.510975],[-0.087155,51.511294]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.086923,51.510975],[-0.086663,51.510914]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.087155,51.511294],[-0.087375,51.511549]]', 'sourceSystemId': 0}, {'$type': 'Tfl.Api.Presentation.Entities.StreetSegment, Tfl.Api.Presentation.Entities', 'toid': '0', 'lineString': '[[-0.087868,51.51215],[-0.088143,51.51247]]', 'sourceSystemId': 0}], 'sourceSystemId': 200007, 'sourceSystemKey': 'TIMS'}]"
